frame_index,detection_index,x1,y1,x2,y2,cat_confidence,orange_prob,goblin_prob,pred_label,pred_confidence
0,0,759,884,1165,1153,0.907972,1.000000,0.000000,orange,1.000000
0,1,1109,845,1317,1097,0.175647,0.046972,0.953028,goblin,0.953028
3,0,720,877,1102,1154,0.913908,1.000000,0.000000,orange,1.000000
3,1,1085,863,1317,1104,0.251748,0.084727,0.915273,goblin,0.915273
6,0,622,779,1004,1138,0.943408,0.999999,0.000001,orange,0.999999
6,1,1045,824,1221,1111,0.870114,0.000064,0.999936,goblin,0.999936
9,0,561,770,843,1125,0.942158,0.999990,0.000010,orange,0.999990
9,1,864,783,1173,1078,0.860815,0.000009,0.999991,goblin,0.999991
12,0,528,801,830,1125,0.922699,0.918355,0.081645,orange,0.918355
15,0,527,801,852,1115,0.851173,0.100837,0.899163,goblin,0.899163
18,0,521,825,865,1114,0.897782,0.997866,0.002134,orange,0.997866
18,1,429,782,750,1023,0.448306,0.000828,0.999172,goblin,0.999172
21,0,505,852,857,1112,0.872944,0.999617,0.000383,orange,0.999617
21,1,366,791,683,1017,0.303786,0.000085,0.999915,goblin,0.999915
24,0,501,872,892,1112,0.922299,0.999996,0.000004,orange,0.999996
24,1,359,819,553,1014,0.499466,0.112975,0.887025,goblin,0.887025
27,0,502,870,861,1111,0.934788,0.999998,0.000002,orange,0.999998
30,0,504,871,891,1113,0.941152,0.999987,0.000013,orange,0.999987
33,0,504,871,868,1113,0.936650,0.999997,0.000003,orange,0.999997
36,0,504,873,893,1113,0.929113,0.999989,0.000011,orange,0.999989
39,0,504,872,875,1113,0.931376,0.999996,0.000004,orange,0.999996
42,0,512,874,893,1112,0.939061,0.999995,0.000005,orange,0.999995
45,0,512,872,868,1112,0.943709,0.999999,0.000001,orange,0.999999
